Suite
-0.188397	4.52653
3987818149 3221752591	3689047517 3219455186
3078665020 3221787516	184045752 3220105317
4152415107 3221833616	1994609452 3220570648
123465965 3221845357	3623154917 3220779338
794627427 3221863530	2048971376 3220833662
3487167164 3221866894	1786101195 3220870203
331255409 3221873795	9559376 3220988679
2130828891 3221875011	2901036408 3221055670
1193509143 3221789219	4198900683 3221113928
1099265582 3221588647	3257819995 3221247230
2411385975 3221558239	1029851673 3221258251
3573271158 3221288794	3430861994 3221349090
1188361286 3221073458	163086776 3221403041
4202289292 3221031650	3975248934 3221409340
2703027098 3220990744	3134348176 3221415616
2508815174 3220915115	1357960633 3221428549
1793410156 3220883343	1759877901 3221429866
738607448 3220618567	2757378250 3221436040
323167172 3220325834	904122366 3221405995
3979398924 3219743640	3441677895 3221358603
432339976 3219342745	1391177367 3221328153
3242766104 3218937985	994847733 3221308384
2525478096 3218053505	4244490934 3221277588
3582158496 1069849733	2744008620 3221208777
3203680816 1071534589	1800348 3221116064
2989318132 1071789887	73349493 3221102089
3000521084 1071865852	3962193202 3221087547
2166275352 1072180265	2704047277 3221029329
3559264556 1072186321	1968999806 3221027515
3201796604 1072193043	3627088696 3221026514
382146244 1072195869	451695078 3221021532
439708316 1072291924	794280690 3221010514
1888266744 1072313580	2374179443 3221006914
983592948 1072395088	2961342883 3220985144
1411030460 1072504958	3078967320 3220975484
910032832 1072559457	2880849172 3220934494
1919452864 1072627013	2035656468 3220897889
2107912574 1072720529	2843222720 3220886634
84712600 1072799823	3156203903 3220796575
3469529506 1072852289	2476297920 3220701702
1410145000 1073007648	930506762 3220445794
1315751886 1073011435	2634611764 3220438635
678162680 1073133693	2048705725 3219802597
4178011044 1073228831	658785368 3219285283
3253802442 1073364023	2195442908 3218918496
2529072508 1073510162	1172727537 3218213556
1611688638 1073683253	1018859388 3216642493
629250718 1073716598	3433049104 3214720623
2409005316 1073732119	2353570800 1067038546
3385102540 1073762924	3921427140 1070011498
1208713893 1073765150	376132130 1070128321

Circle2d
Suite
0.50489	-0.728419
0.491835	-0.529229
0.452891	-0.333447
0.388726	-0.144423
0.300438	0.0346082
0.189536	0.200584
0.0579194	0.350664
-0.092161	0.482281
-0.258137	0.593183
-0.437168	0.681472
-0.626192	0.745637
-0.821974	0.78458
-1.02116	0.797636
-1.22035	0.78458
-1.41614	0.745637
-1.60516	0.681472
-1.78419	0.593183
-1.95017	0.482281
-2.10025	0.350664
-2.23186	0.200584
-2.34277	0.0346082
-2.43106	-0.144423
-2.49522	-0.333447
-2.53416	-0.529229
-2.54722	-0.728419
-2.53416	-0.927609
-2.49522	-1.12339
-2.43106	-1.31242
-2.34277	-1.49145
-2.23186	-1.65742
-2.10025	-1.8075
-1.95017	-1.93912
-1.78419	-2.05002
-1.60516	-2.13831
-1.41614	-2.20247
-1.22035	-2.24142
-1.02116	-2.25447
-0.821974	-2.24142
-0.626192	-2.20247
-0.437168	-2.13831
-0.258137	-2.05002
-0.092161	-1.93912
0.0579194	-1.8075
0.189536	-1.65742
0.300438	-1.49145
0.388726	-1.31242
0.452891	-1.12339
0.491835	-0.927609

Circle2d
Suite:BIN
464349326 1071654928	3212431175 3219607349
80207512 1071610425	3411072189 3219189617
1593702740 1071447084	3006457299 3218429746
331403672 1071177957	2216459992 3217194102
4207280808 1070807647	2013067360 1067563050
1457371400 1070088890	1526011400 1070181565
2582250656 1068345244	2027244578 1071018313
3765830176 3216480220	285665298 1071570355
2526571648 3218113872	4029613849 1071840090
665209594 3218864785	2091675283 1072025245
1281718445 3219392964	575341169 1072159809
3189561983 3219803548	1966077203 1072241479
1495460487 3220199088	242839123 1072268859
1396139979 3220407954	1966077203 1072241479
2350061750 3220613246	575341169 1072159809
1750876750 3220811452	2091675285 1072025245
2359278061 3220999180	4029613853 1071840090
3829298411 3221173218	285665306 1071570355
3414856346 3221278030	2027244582 1071018313
4270900760 3221347035	1526011412 1070181565
1484499676 3221405180	2013067440 1067563050
4221240507 3221451468	2216459964 3217194102
3842156978 3221485109	3006457279 3218429746
2042357339 3221505527	3411072184 3219189617
1611547819 3221512372	3212431174 3219607349
2042357340 3221505527	3013790152 3220025081
3842156979 3221485109	313333201 3220306281
4221240508 3221451468	4009115497 3220504486
1484499678 3221405180	322549513 3220692215
4270900762 3221347035	1792569861 3220866253
3414856348 3221278030	498016847 3221023624
3829298415 3221173218	2210105677 3221161634
2359278066 3220999180	2613619051 3221251697
1750876757 3220811452	1055392585 3221297986
2350061756 3220613246	676309056 3221331627
1396139987 3220407954	3171476713 3221352044
1495460489 3220199088	2740667193 3221358889
3189562005 3219803548	3171476714 3221352044
1281718455 3219392964	676309057 3221331627
665209610 3218864785	1055392587 3221297986
2526571668 3218113872	2613619053 3221251697
3765830256 3216480220	2210105682 3221161634
2582250496 1068345244	498016855 3221023624
1457371384 1070088890	1792569868 3220866253
4207280788 1070807647	322549524 3220692215
331403656 1071177957	4009115511 3220504486
1593702732 1071447084	313333209 3220306281
80207512 1071610425	3013790175 3220025081

The thread '_TppWorkerThread@4' (0x1738) has exited with code 0 (0x0).
maxCircleInPolygon: failed after checkout
Suite
-0.471905	-1.00521
-0.500768	-1.0031
-0.501137	-1.00273
-0.500987	-1.00247
-0.499875	-1.00212
-0.471905	-1.00521
-0.210286	-1.23663
0.10259	-1.07807
0.120121	-1.06314
0.122077	-1.05627
0.190338	-0.999603
0.574407	-0.65421
0.842073	-0.448867
0.707966	-0.436708
0.609278	-0.452167
0.482678	-0.324095
-0.00857346	0.101182
-0.0723196	0.202693
-0.0775422	0.208672
-0.114428	0.240981
-0.38911	0.414285
-0.580245	0.436956
-0.636489	0.443938
-1.19083	0.503938
-1.38459	0.507995
-1.42706	0.483544
-1.45635	0.45833
-1.46302	0.447372
-1.48038	0.417909
-1.64382	0.141948
-1.69532	0.0649057
-1.87663	-0.263041
-2.10977	-0.839814
-2.13171	-0.971267
-2.11719	-1.0479
-2.07895	-1.07963
-1.83738	-1.26651
-1.7546	-1.31382
-1.71301	-1.32403
-1.58531	-1.42394
-1.49697	-1.47577
-1.5013	-1.51511
-1.46308	-1.76843
-1.02057	-1.86932
-0.776737	-1.78591
-0.702357	-1.6352
-0.669691	-1.48812
-0.657063	-1.47109
-0.651005	-1.46432
-0.639353	-1.4495
-0.616066	-1.4097

Suite:BIN
2672597728 3219010481	3631339434 3220182358
142836236 3219129931	2668081144 3220180144
1990474628 3219130703	3413124250 3220179755
1988107072 3219130390	1437652998 3220179489
2825223048 3219127797	4190426266 3220179122
2672597728 3219010481	3631339434 3220182358
4004573744 3217746596	2227180224 3220425025
3761083328 1069171540	2583058736 3220258753
3345892768 1069465661	3117818244 3220243100
347917120 1069498478	3026359754 3220235900
4001638112 1070095617	433248912 3220176064
846275182 1071800715	654768548 3219451721
2683359918 1072362050	2268247288 3218913853
2567706652 1072080808	985071736 3218862853
4220548808 1071873844	504178208 3218927693
4122503608 1071572016	347163760 3218390519
3951652096 3212938998	3127389280 1069147920
2796017280 3216147337	585321808 1070199255
356380064 3216234958	2317719264 1070249415
595708992 3216853802	3040969888 1070520436
55246152 3218663215	2631407824 1071285157
1410375952 3219296606	2026983744 1071380245
2546583944 3219414557	1235671240 1071409530
3734059138 3220376994	3362486596 1071652929
236777458 3220580170	351370828 1071661438
774403988 3220624705	807141096 1071575652
3407237088 3220655417	1320276472 1071469896
3880702060 3220662410	3813936952 1071423934
3193264970 3220680607	958192648 1071300358
889216708 3220851991	487903424 1069689686
2427597148 3220905993	497841216 1068539304
3470593438 3221096104	3711729568 3218134441
4061596094 3221283023	2801903032 3219840961
1254648159 3221294527	645714836 3220116639
2558937579 3221286913	2072606800 3220227127
618025706 3221266865	3213911506 3220260392
1658402078 3221054952	2942574316 3220456347
277330205 3220968152	1184270820 3220505961
1305692411 3220924546	3888183750 3220516661
3723258149 3220790636	636685908 3220621424
3589346895 3220698009	188811432 3220675772
4282531294 3220702544	2430139612 3220717025
457415085 3220662475	4000834010 3220982651
2127713411 3220198465	3025875240 3221088445
3965859984 3219708679	1562389134 3221000978
1838021188 3219552692	1896853150 3220842954
959098988 3219484188	298805110 3220688725
4067637006 3219457704	1743370280 3220670870
1853291410 3219445000	1516252416 3220663769
931439798 3219420564	1029728016 3220648232
2307765246 3219371728	2893278696 3220606494

Circle2d
Suite
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521
-0.471905	-1.00521

Circle2d
Suite:BIN
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358
2672597728 3219010481	3631339434 3220182358

maxCircleInPolygon: failed after checkout
Suite
-0.00119578	1.87025
0.0280931	1.86773
0.0443431	1.86622
0.0664035	1.88417
0.0988706	1.88722
0.108632	1.88672
0.0254736	1.9607
-0.00125267	1.87026

Suite:BIN
1668218624 3209926514	2748229859 1073605773
2527324544 1067238514	822530399 1073603128
1377260211 1067889698	2807713511 1073601543
479707040 1068564434	3470050455 1073620368
4130723200 1069109141	3742777345 1073623561
4254042188 1069272904	3113087856 1073623037
1965564697 1067062719	4154782063 1073700614
2436349312 3209987608	3346112916 1073605778

Circle2d
Suite
0.0502283	1.91743
0.0498232	1.92361
0.0486149	1.92968
0.046624	1.93555
0.0438847	1.9411
0.0404437	1.94625
0.03636	1.95091
0.0317034	1.95499
0.0265536	1.95843
0.0209987	1.96117
0.0151339	1.96316
0.00905927	1.96437
0.00287895	1.96478
-0.00330138	1.96437
-0.00937596	1.96316
-0.0152409	1.96117
-0.0207957	1.95843
-0.0259455	1.95499
-0.0306021	1.95091
-0.0346858	1.94625
-0.0381268	1.9411
-0.0408661	1.93555
-0.042857	1.92968
-0.0440653	1.92361
-0.0444704	1.91743
-0.0440653	1.91125
-0.042857	1.90517
-0.0408661	1.89931
-0.0381268	1.89375
-0.0346858	1.8886
-0.0306021	1.88394
-0.0259455	1.87986
-0.0207957	1.87642
-0.0152409	1.87368
-0.00937596	1.87169
-0.00330138	1.87048
0.00287895	1.87008
0.00905927	1.87048
0.0151339	1.87169
0.0209987	1.87368
0.0265536	1.87642
0.0317034	1.87986
0.03636	1.88394
0.0404437	1.8886
0.0438847	1.89375
0.046624	1.89931
0.0486149	1.90517
0.0498232	1.91125

Circle2d
Suite:BIN
3563572696 1068087172	3483801173 1073655238
2583758881 1068073580	1514444380 1073661719
2078669656 1068033036	43899269 1073668089
850408978 1067966234	3424652434 1073674238
3218142651 1067874316	2102278289 1073680063
3740284182 1067758856	1823026786 1073685463
486380864 1067621830	893028617 1073690346
181551223 1067465581	1263148551 1073694628
1055329425 1067135198	1783702541 1073698236
4082896071 1066762417	3588759055 1073701108
631149381 1066335871	1748094010 1073703196
4177329883 1065520554	1763878048 1073704463
2817780623 1063753110	720755405 1073704888
2483823651 3211463550	1763878048 1073704463
3517226362 3213046707	1748094010 1073703196
2461934532 3213833880	3588759055 1073701108
2498367917 3214232440	1783702541 1073698236
1806140939 3214578036	1263148552 1073694628
2415800225 3214890534	893028617 1073690346
166836134 3215049302	1823026786 1073685463
3939661899 3215164761	2102278289 1073680063
1571928226 3215256679	3424652434 1073674238
2800188905 3215323481	43899269 1073668089
3305278130 3215364025	1514444380 1073661719
4285091944 3215377617	3483801173 1073655238
3305278132 3215364025	1158190669 1073648758
2800188907 3215323481	2628735780 1073642388
1571928229 3215256679	3542949911 1073636238
3939661901 3215164761	570356760 1073630414
166836139 3215049302	849608263 1073625014
2415800233 3214890534	1779606432 1073620131
1806140946 3214578036	1409486498 1073615849
2498367926 3214232440	888932508 1073612241
2461934556 3213833880	3378843290 1073609368
3517226387 3213046707	924541040 1073607281
2483823775 3211463550	908757001 1073606014
2817780596 1063753110	1951879644 1073605589
4177329840 1065520554	908757001 1073606014
631149363 1066335871	924541039 1073607281
4082896062 1066762417	3378843290 1073609368
1055329415 1067135198	888932508 1073612241
181551218 1067465581	1409486497 1073615849
486380859 1067621830	1779606432 1073620131
3740284180 1067758856	849608262 1073625014
3218142646 1067874316	570356760 1073630414
850408974 1067966234	3542949911 1073636238
2078669655 1068033036	2628735780 1073642388
2583758881 1068073580	1158190668 1073648758

maxCircleInPolygon: inner call failed
Suite
-2.68245	0.461198
-2.76703	0.422158
-2.89208	0.364439
-2.97334	0.326931
-3.0034	0.354889
-3.00676	0.35838
-3.03271	0.306184
-3.02534	0.281444
-3.02326	0.26321
-3.04768	-0.0624952
-2.61381	0.199702
-2.71226	0.204933
-2.81449	0.229025
-2.90593	0.271136
-2.90166	0.292154
-2.64511	0.460419
-2.57015	0.443204
-2.34783	0.360446
-1.316	0.984009
-1.32825	1.00225
-1.50103	1.44461
-1.77079	2.09462
-1.94683	2.01117
-1.96761	1.99951
-2.00945	1.96494
-2.20135	1.77387
-2.45573	1.381
-2.58967	0.985596
-2.74216	0.787573
-2.88213	0.582824
-2.66976	0.481726
-2.67556	0.469891

Circle2d
Suite
-3.11017	-1.316
-3.0841	-1.7138
-3.00633	-2.1048
-2.87818	-2.48229
-2.70186	-2.83984
-2.48038	-3.17131
-2.21753	-3.47103
-1.9178	-3.73388
-1.58633	-3.95537
-1.22879	-4.13169
-0.851292	-4.25983
-0.460297	-4.3376
-0.0624952	-4.36368
0.335307	-4.3376
0.726302	-4.25983
1.1038	-4.13169
1.46134	-3.95537
1.79281	-3.73388
2.09254	-3.47103
2.35539	-3.17131
2.57687	-2.83984
2.75319	-2.48229
2.88134	-2.1048
2.95911	-1.7138
2.98518	-1.316
2.95911	-0.918197
2.88134	-0.527202
2.75319	-0.149703
2.57687	0.20784
2.35539	0.53931
2.09254	0.839035
1.79281	1.10189
1.46134	1.32337
1.1038	1.49969
0.726302	1.62783
0.335307	1.70561
-0.0624952	1.73168
-0.460297	1.70561
-0.851292	1.62783
-1.22879	1.49969
-1.58633	1.32337
-1.9178	1.10189
-2.21753	0.839035
-2.48038	0.53931
-2.70186	0.20784
-2.87818	-0.149703
-3.00633	-0.527202
-3.0841	-0.918197

maxCircleInPolygon: failed after checkout
Suite
0.696694	0.721722
0.540372	0.591056
0.460057	0.612758
0.446727	0.630756
0.515578	0.758005
0.667827	0.924946
0.685211	0.938135
0.692138	1.01596
0.746981	1.05559
0.739428	1.09823
0.711035	1.09189
0.559294	0.996732
0.369639	0.92744
0.292346	0.892926
0.184769	0.846685
0.146256	0.791879
-0.00613697	0.686956
-0.0609844	0.575078
-0.0878522	0.518174
-0.0403766	0.543426
-0.0331955	0.555855
0.00622725	0.611169
0.020877	0.619478
0.0331809	0.620103
0.0375607	0.617666
0.042195	0.602591
0.0443813	0.580525
0.0438727	0.576534
0.0336679	0.501971
0.0293539	0.471596
0.0208924	0.447718
0.000260097	0.405757
-0.0112589	0.366555
-0.0117709	0.364703
-0.00281676	0.353232
-0.0218408	0.313672
-0.0270108	0.30962
-0.0648448	0.275841
-0.0838798	0.254737
-0.0855696	0.253648
-0.0972017	0.239286
-0.0885908	0.22978
-0.0624657	0.208646
-0.0515404	0.19829
-0.0596251	0.191421
-0.0615671	0.191038
-0.0686171	0.187197
-0.0706387	0.188354
-0.0758081	0.192748
-0.0851469	0.21135
-0.0916735	0.207795
-0.0972823	0.203608
-0.115048	0.213779
-0.123565	0.210797
-0.137436	0.205563
-0.140815	0.2049
-0.177077	0.206523
-0.183242	0.208208
-0.215804	0.217524
-0.227506	0.222399
-0.331738	0.00164428
-0.312742	0.00482616
-0.258161	0.0252074
0.0420708	0.0302202
0.0452472	0.0291185
0.0748497	0.0292391
0.191269	0.0309282
0.245061	0.0362758
0.252595	0.0361994
0.276184	0.038933
0.847447	0.0978398
0.937276	0.114092
0.979193	0.118368
1.0727	0.126647
1.51323	0.182028
1.56247	0.181294
1.6889	0.208961
1.90487	0.242775
1.96266	0.359982
1.95269	0.454403
1.95253	0.457263
1.93122	0.45644
1.92525	0.456742
1.90956	0.479276
1.88885	0.521305
1.88125	0.559326
1.86905	0.680883
1.88226	0.797087
1.88706	0.814454
1.8959	0.84132
1.90927	0.861336
1.90005	0.886035
1.87479	1.00781
1.86925	1.03682
1.72627	1.01002
1.25614	0.925121
1.11367	0.930046
1.10249	0.936381
0.885874	0.805005
0.888661	0.796583
0.510061	0.480118
0.504881	0.477458
0.335827	0.523139
0.322497	0.541137
0.350995	0.63114
0.413529	0.746714
0.584835	0.93455
0.692337	1.01594
0.68541	0.938117
0.698541	0.920136
0.704415	0.90239

Suite:BIN
1639763831 1072057169	2255571411 1072109657
4153621404 1071729337	1732056178 1071835629
2058700440 1071477138	289335744 1071881142
992845592 1071421228	1693257200 1071918887
2571054408 1071677340	2460491672 1072185747
2056978496 1071996630	1880248554 1072535847
891822648 1072033088	3432329374 1072563506
2254881380 1072047614	2365192563 1072709980
4067951952 1072162628	2486563507 1072751533
742075196 1072146789	3898162004 1072796252
3932617112 1072087243	2940013671 1072789596
3111067516 1071769019	3161317544 1072686394
1778569704 1071097897	1153159710 1072541079
1979424256 1070773709	1950403136 1072468697
1098146272 1070048895	3337010726 1072371722
3210867744 1069725824	1168035982 1072256786
3569499648 3212387091	231291408 1072036747
2291948416 3215931736	1191054520 1071802121
2532956278 3216407930	2921060484 1071682785
2263888272 3215240254	1069588668 1071735742
4271267632 3214999295	1685009317 1071761807
4067313920 1064927678	1457465027 1071877809
173468672 1066754248	1000263639 1071895236
1551601232 1067515159	739195080 1071896547
1363249632 1067662118	2968256228 1071891434
1336115568 1067817621	1666689940 1071859820
3556747056 1067890981	1337574616 1071813545
706398800 1067873914	1394386671 1071805176
1300764848 1067531499	4045202850 1071648805
2581140416 1067323119	4278984271 1071525536
4112526752 1066755279	1940910969 1071425383
2348312576 1060178868	3188503525 1071249386
4098420480 3213299430	4104235785 1071084961
2503873792 3213368152	43415198 1071077196
1159403264 3211203372	1497193316 1071029081
1562964096 3214302573	3987104989 1070863153
3675521920 3214649526	768815206 1070846160
2659220792 3216021931	3337372813 1070704481
3023861912 3216341284	4023892176 1070615965
2724524976 3216369635	1842035521 1070611398
3079301816 3216564790	3770563478 1070506218
641602528 3216420322	4261362928 1070426477
1584953760 3215981440	2638490664 1070249190
614322736 3215614848	1652478076 1070162318
4047727904 3215886127	485017526 1070104699
1871586240 3215951287	3883204602 1070101482
1832713848 3216085220	2311757946 1070069267
1758192168 3216119136	4064777112 1070078975
1639374912 3216205865	3374024916 1070115829
437208421 3216362543	1387607304 1070271875
3635743056 3216472041	3649677582 1070242056
2161386944 3216566141	2588151184 1070206930
616315252 3216864209	414874373 1070292252
2913512232 3217007091	1443604048 1070267239
2701648764 3217135492	606129448 1070223330
4138768604 3217163834	2431942680 1070217772
4137439308 3217468024	1186232962 1070231385
2901993528 3217519739	3233370890 1070245516
687829424 3217792883	3521636640 1070323670
1395516212 3217891051	4056521208 1070364560
2101585211 3218422578	95586816 1062924447
3230303336 3218342904	2242321152 1064551577
1269436464 3218113972	2557427840 1067044858
370747904 1067813454	1519360896 1067381256
3177844608 1067920035	1356194560 1067307326
324967808 1068706138	862768256 1067315418
4166002944 1070103422	1440309696 1067428773
2569130688 1070554665	1358941888 1067619004
3880194448 1070606980	2038186784 1067616442
3115526544 1070705920	2208025376 1067708166
1380548480 1072373320	225112416 1069091847
986804336 1072561707	3400603168 1069364505
2656069824 1072649612	1955462160 1069436254
3671085452 1072769479	3264844384 1069561338
4188628416 1073231411	3407447176 1070025902
2489806184 1073283036	2897867424 1070019744
197491506 1073415609	2232433056 1070251832
670360760 1073642071	3881428304 1070535487
1293448569 1073702665	937214053 1071057393
3568238659 1073692216	3758059736 1071453424
2238403900 1073692051	3205301204 1071465420
2199041224 1073669698	3651997328 1071461969
3723311929 1073663445	1754155220 1071463236
3044362190 1073646995	1290410480 1071557748
3048787731 1073625271	3937353924 1071689351
3876984932 1073617304	747784180 1071769087
2333701968 1073604513	2803109428 1072024010
1419658072 1073618361	1350978392 1072267708
3345420626 1073623399	3890614522 1072304129
2978906402 1073632668	1967791502 1072360472
811672077 1073646691	895237335 1072402449
3962491918 1073637019	1499618912 1072454245
2010457248 1073610535	1509987250 1072701442
1850416856 1073604724	1056852078 1072731855
3662868242 1073454796	1955728370 1072703751
990826820 1072961828	2363124240 1072536214
3386261220 1072812436	529583104 1072546543
3383297354 1072800716	860996703 1072559830
2909054982 1072453907	3108950969 1072284314
3342147980 1072459753	2423599968 1072266651
2441248348 1071665771	2133392284 1071561281
947465436 1071654907	3767302160 1071550125
775259720 1070956080	3249966640 1071693197
4005419912 1070900169	359366940 1071730943
3084011832 1071019699	2545038824 1071919691
3502166448 1071281985	322758746 1072162068
868112848 1071822583	3151503350 1072555988
1304978538 1072048032	4115897344 1072709961
4236887102 1072033505	2638771641 1072563469
1424226232 1072061043	2027961764 1072525761
688015455 1072073361	3911022759 1072488544

Circle2d
Suite
0.737145	1.77778
0.716524	2.09239
0.655015	2.40162
0.553669	2.70017
0.414222	2.98294
0.239059	3.24509
0.0311762	3.48214
-0.205868	3.69002
-0.468019	3.86518
-0.75079	4.00463
-1.04934	4.10598
-1.35857	4.16749
-1.67318	4.18811
-1.98779	4.16749
-2.29702	4.10598
-2.59558	4.00463
-2.87835	3.86518
-3.1405	3.69002
-3.37754	3.48214
-3.58542	3.24509
-3.76059	2.98294
-3.90003	2.70017
-4.00138	2.40162
-4.06289	2.09239
-4.08351	1.77778
-4.06289	1.46317
-4.00138	1.15394
-3.90003	0.855387
-3.76059	0.572615
-3.58542	0.310465
-3.37754	0.0734202
-3.1405	-0.134462
-2.87835	-0.309626
-2.59558	-0.449073
-2.29702	-0.550418
-1.98779	-0.611928
-1.67318	-0.632548
-1.35857	-0.611928
-1.04934	-0.550418
-0.75079	-0.449073
-0.468019	-0.309626
-0.205868	-0.134462
0.0311762	0.0734202
0.239059	0.310465
0.414222	0.572615
0.553669	0.855387
0.655015	1.15394
0.716524	1.46317

Circle2d
Suite:BIN
2346021040 1072142000	2219835592 1073508808
3582275928 1072098755	4125735882 1073790262
2691194152 1071969761	1627648851 1073952387
216749560 1071757225	2232444845 1074108915
1421014208 1071284893	614849125 1074257169
4153516416 1070504312	2527542600 1074394611
2668768512 1067445412	762084502 1074518891
3631329072 3217709540	1940353619 1074627881
4232310448 3218994181	2395256531 1074719717
2088223289 3219654265	330602205 1074791614
106219983 3220228637	639907779 1074818181
3699980511 3220552885	1825034824 1074834305
1141682096 3220882779	59890227 1074839711
2878350972 3221212672	1825034825 1074834305
3236055752 3221381196	639907779 1074818181
3840851745 3221537724	330602205 1074791614
2223256026 3221685978	2395256532 1074719717
4135949500 3221823420	1940353621 1074627881
2370491403 3221947700	762084502 1074518891
3548760520 3222056690	2527542601 1074394611
4003663432 3222148526	614849127 1074257169
2269611311 3222221637	2232444848 1074108915
3591594878 3222274409	1627648855 1073952387
481754628 3222290534	4125735885 1073790262
3011577326 3222295939	2219835593 1073508808
481754628 3222290534	483166721 1073178915
3591594878 3222274409	1184373484 1072854666
2269611313 3222221637	4244530291 1072389971
4003663434 3222148526	2124978572 1071796957
3548760524 3222056690	1833311252 1070849703
2370491406 3221947700	3698361968 1068682154
4135949503 3221823420	4118223032 3217110542
2223256029 3221685978	1403367520 3218329832
3840851750 3221537724	415852440 3218914717
3236055757 3221381196	534887160 3219234055
2878350984 3221212672	1425968940 3219363049
1141682098 3220882779	189714048 3219406294
3699980528 3220552885	1425968944 3219363049
106219990 3220228637	534887168 3219234055
2088223303 3219654265	415852456 3218914717
4232310480 3218994181	1403367552 3218329832
3631329144 3217709540	4118223104 3217110542
2668767936 1067445412	3698361760 1068682154
4153516384 1070504312	1833311208 1070849703
1421014176 1071284893	2124978538 1071796957
216749548 1071757225	4244530248 1072389971
2691194144 1071969761	1184373470 1072854666
3582275924 1072098755	483166703 1073178915
